ADC_raw,ADC_smooth,ADC_corrected,is_stable
16831.0,16821.820829653378,16975.842624211105,False
16827.0,16822.612769041487,16976.07953010531,False
16836.0,16823.332441979655,16976.24416954958,False
16837.0,16824.143190044753,16976.499884120774,False
16837.0,16824.529416045996,16976.331076628117,False
16836.0,16825.0221060917,16976.268733179917,False
16839.0,16825.48837310675,16976.179966701067,False
16827.0,16826.064360802608,16976.200920903022,False
16833.0,16826.844916528084,16976.4264431346,False
16834.0,16827.865222442164,16976.891715554775,False
16838.0,16828.70228576015,16977.17374537886,False
16827.0,16829.05904764993,16976.97547377474,False
16817.0,16829.57628481054,16976.937677441445,False
16830.0,16830.374047111043,16977.180406248048,False
16836.0,16831.11371719456,16977.36504283766,False
16842.0,16831.762737436384,16977.459029585585,False
16841.0,16832.406441612628,16977.547700267925,False
16848.0,16832.70566765174,16977.291892813137,False
16838.0,16832.995566544538,16977.026758212032,False
16830.0,16833.751065395394,16977.22722356899,False
16843.0,16834.29282636761,16977.213951047303,False
16844.0,16834.736457138453,16977.102548324245,False
16850.0,16835.14905665083,16976.960114342717,False
16853.0,16834.864942802553,16976.12096700054,False
16848.0,16834.64512567521,16975.346116379296,False
16838.0,16834.98794053922,16975.133897749405,False
16822.0,16835.43676503332,16975.0276887496,False
16793.0,16836.88291547361,16975.91880569599,False
16848.0,16837.59448177587,16976.075338504346,False
16845.0,16838.736017288644,16976.661840523222,False
16821.0,16839.746110530974,16977.11690027165,False
16807.0,16840.72454915154,16977.540305398314,False
16838.0,16841.719844797608,16977.98056755048,False
16842.0,16842.33721624349,16978.04290550246,False
16848.0,16843.172581333394,16978.323237098462,False
16854.0,16843.87697604471,16978.472598315875,False
16836.0,16844.739011762842,16978.779600540107,False
16828.0,16845.637167597848,16979.12272288121,False
16846.0,16846.45433572243,16979.38485751189,False
16858.0,16847.27305351654,16979.648541812097,False
16862.0,16848.29559072171,16980.11604552337,False
16851.0,16849.56321748439,16980.828638792143,False
16846.0,16851.06844470614,16981.778832519994,False
16832.0,16851.589290965527,16981.74464528548,False
16829.0,16852.233586463037,16981.83390728909,False
16847.0,16853.067626177683,16982.11291350983,False
16837.0,16855.02096714285,16983.511220981098,False
16762.0,16856.258317091437,16984.19353743578,False
16848.0,16857.031972126835,16984.41215897728,False
16863.0,16857.054669542213,16983.879822898754,False
16869.0,16857.888761689293,16984.158881551935,False
16857.0,16858.966926787354,16984.682013156093,False
16862.0,16860.142094789597,16985.302147664435,False
